,PMID,LastName,ForeName,Initials,Affiliation
0,1,"['Makar', 'McMartin', 'Palese', 'Tephly']","['A B', 'K E', 'M', 'T R']","['AB', 'KE', 'M', 'TR']",
1,2,"['Bose', 'Sarma']","['K S', 'R H']","['KS', 'RH']",
2,3,"['Smith', 'Bryant']","['R J', 'R G']","['RJ', 'RG']",
3,4,"['Wiesmann', 'DiDonato', 'Herschkowitz']","['U N', 'S', 'N N']","['UN', 'S', 'NN']",
4,5,"['Hendrickson', 'Ward']","['W A', 'K B']","['WA', 'KB']",
5,6,"['Chow', 'Pietranico', 'Mukerji']","['Y W', 'R', 'A']","['YW', 'R', 'A']",
6,7,"['Anderson', 'Slotkin']","['T R', 'T A']","['TR', 'TA']",
7,8,"['Moroi', 'Sato']","['K', 'T']","['K', 'T']",
8,9,"['Marniemi', 'Parkki']","['J', 'M G']","['J', 'MG']",
9,10,"['Schmoldt', 'Benthe', 'Haberland']","['A', 'H F', 'G']","['A', 'HF', 'G']",
10,11,['Lefkowitz'],['R J'],['RJ'],
11,12,['Stein'],['J M'],['JM'],
12,13,"['Järvisalo', 'Saris']","['J', 'N E']","['J', 'NE']",
13,14,"['Bhagwat', 'Ramachandran']","['V M', 'B V']","['VM', 'BV']",
14,15,"['Akamatsu', 'Nakajima', 'Ono', 'Miura']","['N', 'H', 'M', 'Y']","['N', 'H', 'M', 'Y']",
15,16,"['Turner', 'Hick']","['A J', 'P E']","['AJ', 'PE']",
16,17,"['Renaud', 'Buda', 'Lewis', 'Pujol']","['B', 'M', 'B D', 'J F']","['B', 'M', 'BD', 'JF']",
17,18,"['Ris', 'Deitrich', 'Von Wartburg']","['M M', 'R A', 'J P']","['MM', 'RA', 'JP']",
18,19,"['Halaris', 'Belendiuk', 'Freedman']","['A E', 'K T', 'D X']","['AE', 'KT', 'DX']",
19,20,"['Barthel', 'Markwardt']","['W', 'F']","['W', 'F']",
20,21,"['Isaac', 'Thiemer']","['O', 'K']","['O', 'K']",
21,22,"['Ardenne', 'Reitnauer']","['M', 'P G']","['M', 'PG']",
22,23,"['Flohr', 'Breull']","['H', 'W']","['H', 'W']",
23,24,"['Kröger', 'Donner', 'Skiello']","['H', 'I', 'G']","['H', 'I', 'G']",
24,25,"['Coscia', 'Causa', 'Giuliani', 'Nunziata']","['L', 'P', 'E', 'A']","['L', 'P', 'E', 'A']",
25,26,"['Scherberger', 'Kaess', 'Brückner']","['R R', 'H', 'S']","['RR', 'H', 'S']",
26,27,['Conway'],['C M'],['CM'],
27,28,"['Thornton', 'Harrison']","['J A', 'M J']","['JA', 'MJ']",
28,29,"['Maneksha', 'Harry']","['S', 'T V']","['S', 'TV']",
29,30,"['Mier', 'van den Hurk']","['P D', 'J J']","['PD', 'JJ']",
30,31,"['Mier', 'van den Hurk']","['P D', 'J J']","['PD', 'JJ']",
31,32,"['Beck', 'Freihaut', 'Henry', 'Pierce', 'Bayer']","['M L', 'B', 'R', 'S', 'W L']","['ML', 'B', 'R', 'S', 'WL']",
32,33,"['Corrocher', 'Tedesco', 'Rabusin', 'De Sandre']","['R', 'F', 'P', 'G']","['R', 'F', 'P', 'G']",
33,34,"['Warth', 'Desforges']","['J', 'J F']","['J', 'JF']",
34,35,"['Worathumrong', 'Grimes']","['N', 'A J']","['N', 'AJ']",
35,36,"['Orskov', 'Fraser']","['E R', 'C']","['ER', 'C']",
36,37,"['Hattori', 'Frazier', 'Miles']","['M', 'J', 'H T']","['M', 'J', 'HT']",
37,38,"['Garner', 'Behal']","['C W', 'F J']","['CW', 'FJ']",
38,39,['Sanner'],['T'],['T'],
39,40,"['Roskoski', 'Lim', 'Roskoski']","['R', 'C T', 'L M']","['R', 'CT', 'LM']",
40,41,"['Stellwagen', 'Babul']","['E', 'J']","['E', 'J']",
41,42,"['Duggleby', 'Kaplan']","['R G', 'H']","['RG', 'H']",
42,43,"['Gilbert', ""O'Leary""]","['H F', 'M H']","['HF', 'MH']",
43,44,['McPhie'],['P'],['P'],
44,45,"['Peterson', 'Gleisner', 'Blakley']","['D L', 'J M', 'R L']","['DL', 'JM', 'RL']",
45,46,"['Baccanari', 'Phillips', 'Smith', 'Sinski', 'Burchall']","['D', 'A', 'S', 'D', 'J']","['D', 'A', 'S', 'D', 'J']",
46,47,"['Hartman', 'LaMuraglia', 'Tomozawa', 'Wolfenden']","['F C', 'G M', 'Y', 'R']","['FC', 'GM', 'Y', 'R']",
47,48,"['Ferren', 'Ward', 'Campbell']","['L G', 'R L', 'B J']","['LG', 'RL', 'BJ']",
48,49,"['Hodgson', 'Fridovich']","['E K', 'I']","['EK', 'I']",
49,50,"['Jaton', 'Huser', 'Blatt', 'Pecht']","['J C', 'H', 'Y', 'I']","['JC', 'H', 'Y', 'I']",
50,51,"['Jaton', 'Huser', 'Braun', 'Givol', 'Pecht', 'Schlessinger']","['J C', 'H', 'D G', 'D', 'I', 'J']","['JC', 'H', 'DG', 'D', 'I', 'J']",
51,52,['Fahnestock'],['S R'],['SR'],
52,53,"['van Dam-Mieras', 'Slotboom', 'Pieterson', 'de Haas']","['M C', 'A J', 'W A', 'G H']","['MC', 'AJ', 'WA', 'GH']",
53,54,"['Martin', 'Luthra', 'Wells', 'Watts', 'Hanahan']","['J K', 'M G', 'M A', 'R P', 'D J']","['JK', 'MG', 'MA', 'RP', 'DJ']",
54,55,"['Mockrin', 'Byers', 'Koshland']","['S C', 'L D', 'D E']","['SC', 'LD', 'DE']",
